iphone-de-julia.lan 192.168.86.20
qca-ioeboard.lan 192.168.86.21
irobot-84637ad86ad0470b89a47ab700a9bce5.lan 192.168.86.22
chromecast.lan 192.168.86.23
iphone.lan 192.168.86.25
esp_004ed8.lan 192.168.86.26
lgwebostv.lan 192.168.86.27
qca-ioeboard.lan 192.168.86.29
qca-ioeboard.lan 192.168.86.30
esp-499b6d.lan 192.168.86.32
galaxywatch3-aae3.lan 192.168.86.33
qca-ioeboard.lan 192.168.86.34
samsung.lan 192.168.86.36
cellclaudio.lan 192.168.86.38
lgwebostv.lan 192.168.86.40
enzo-ubuntu.lan 192.168.86.41
claudiopc.lan 192.168.86.163
celular-tita.lan 192.168.86.250
